id,city,name,link,img,address,rating,price,Front desk [24-hour],Kids club,Playground,Kitchen,Swimming pool [indoor],Golf course [on-site],Swimming pool [kids],Hot tub,Jacuzzi,Steamroom,Shared kitchen,Nightclub,Family room,Garden,Massage,Swimming pool [outdoor],Bar,Spa,Golf course (within 3 km),Shops,Sauna,Tennis court,Fitness center,Babysitting service,Restaurants
DaLat13,Da Lat,Du Parc Hotel Dalat,"https://www.agoda.com/du-parc-hotel-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,2",https://pix6.agoda.net/hotelImages/109/10950/10950_17030713580051407026.jpg?s=1024x768,"15 Tran Phu Street, Dalat City Center, Dalat, Vietnam",7.9,952381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
DaLat14,Da Lat,Pi Hostel Dalat,https://www.agoda.com/pi-hostel-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/2419146/-1/3b2cb112db580098edde73d50312bd5e.jpg?s=1024x768,"61 Thủ Khoa Huân ward 1, Dalat City Center, Dalat, Vietnam, 670000",8.9,485035,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DaLat15,Da Lat,Sam Tuyen Lam Resort,https://www.agoda.com/sam-tuyen-lam-resort_2/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/551989/-1/3c53e27f6312ba4d5f64929d703331e4.jpg?s=1024x768,"Zone 7 & 8, Tuyen Lam Lake, Dalat, Vietnam, 0633",8.1,908357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat17,Da Lat,Dalat Palace Heritage Hotel,https://www.agoda.com/dalat-palace-heritage-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/109/10949/10949_16042216400041723328.jpg?s=1024x768,"02 Tran Phu Street, Dalat City Center, Dalat, Vietnam",8.4,3116883,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
DaLat18,Da Lat,Saphir Dalat Hotel,https://www.agoda.com/saphir-dalat-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/263/263080/263080_15061513160029520366.jpg?s=1024x768,"22-24 Phan Nhu Thach Street, Dalat City Center, Dalat, Vietnam, 02633",7.6,519481,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
DaLat19,Da Lat,La Xanh Hotel,https://www.agoda.com/la-xanh-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/685/685186/685186_16050517260042084223.jpg?s=1024x768,"65 Street 3 - 2, Dalat City Center, Dalat, Vietnam, 7000",7.2,216364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
DaLat20,Da Lat,Dalat Wonder Resort,https://www.agoda.com/dalat-wonder-resort/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/4960301/-1/b86a59712fb7df960f0cfb7f60f7bf41.jpg?s=1024x768,"19, Rose street, Tuyen Lam lake,ward 4,Dalat, Lam Dong, Tuyen Lam Lake, Dalat, Vietnam, 670000",8.1,940895,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
DaLat21,Da Lat,Leo's Family Hostel & Hangout,https://www.agoda.com/leo-s-family-hostel-hangout/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/2079154/-1/84c0efbe62b09d5cb823e23f33d37b29.png?s=1024x768,"D58 Hoang Van Thu street, Ward 4, Da Lat city, Lam Dong provice, Dalat City Center, Dalat, Vietnam, 670000",7.9,259740,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
DaLat22,Da Lat,The Luxe Hotel Da Lat,https://www.agoda.com/the-luxe-hotel-da-lat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/4942635/-1/b187d324a6a84778c776140660182c9b.jpg?s=1024x768,"No.17, 3/4 Street,Ward 3, Da Lat City, Lam Dong Province, Tuyen Lam Lake, Dalat, Vietnam",8.6,560455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat23,Da Lat,La Sapinette Hotel,https://www.agoda.com/la-sapinette-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/182/182174/182174_14021816170018377122.jpg?s=1024x768,"1 Phan Chu Trinh, Old Train Station, Dalat, Vietnam",7.9,788182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
DaLat24,Da Lat,TTC Hotel Premium Ngoc Lan,https://www.agoda.com/ttc-hotel-premium-ngoc-lan_5/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/179/179080/179080_17033010400052024533.jpg?s=1024x768,"42 Nguyen Chi Thanh, Dalat City Center, Dalat, Vietnam, 670000",8.2,1067727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
DaLat25,Da Lat,Saigon Dalat Hotel,https://www.agoda.com/saigon-dalat-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/179/179077/179077_15071011250032024791.jpg?s=1024x768,"180, 3 Thang 2 Street, Dalat City Center, Dalat, Vietnam",8.3,1376166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
DaLat26,Da Lat,Kings Hotel Dalat,https://www.agoda.com/kings-hotel-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/120/1203694/1203694_17012711050050611008.jpg?s=1024x768,"10 Bui Thi Xuan Street, Dalat City Center, Dalat, Vietnam, 84633",7.9,765818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
DaLat27,Da Lat,NAVY FLOWERS HOTEL,https://www.agoda.com/navy-flowers-hotel_2/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/291/2913595/2913595_17100414430057132568.jpg?s=1024x768,"70-72 Bui Thi Xuan Street,Ward 2, Da Lat City, Lam Dong Province, Dalat City Center, Dalat, Vietnam, 670000",8.4,746469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
