id,city,name,link,img,address,rating,price,Babysitting service,Kitchen,Shops,Massage,Swimming pool [indoor],Golf course [on-site],Family room,Table tennis,Restaurants,Playground,Garden,Sauna,Fitness center,Kids club,Poolside bar,Swimming pool [outdoor],Casino,Front desk [24-hour],Nightclub,Steamroom,Smoking area,Bar,Hot spring bath,Tennis court,Hot tub,Spa,Shared kitchen
HaNoi12,Ha Noi,Lotte Hotel Hanoi,https://www.agoda.com/lotte-hotel-hanoi/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/665/665815/665815_15080318200033559670.jpg?s=1024x768,"No. 54 Lieu Giai Street,, Ba Dinh District, Hanoi, Vietnam, 10000",9.2,2749500,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HaNoi13,Ha Noi,Silk Path Hotel,https://www.agoda.com/silk-path-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/178/178091/178091_17031423540051548141.jpg?s=1024x768,"195-199 Hang Bong, Hoan Kiem District, Hanoi, Vietnam, 10000",8.5,2391775,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
HaNoi14,Ha Noi,My Hotel Hoang Cau,https://www.agoda.com/my-hotel-hoang-cau/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/534/5348424/5348424_18070912130066741281.jpg?s=1024x768,"No 05, alley 34/68, Hoang Cau street, Dong Da District, Hanoi, Vietnam, 100000",8.4,478261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi15,Ha Noi,Quoc Hoa Premier Hotel and Spa,https://www.agoda.com/quoc-hoa-premier-hotel-and-spa/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/64307/-1/b7afe6e0c056360f0cf25e05f474c36b.jpg?s=1024x768,"10 Bat Dan Street - Hoan Kiem, Old Quarter, Hanoi, Vietnam",8.3,1381818,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi16,Ha Noi,Hanoi Prague hostel,https://www.agoda.com/hanoi-prague-hostel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/5646615/-1/14afec3d3cef763a1c0eb1bf05b1aa18.jpg?s=1024x768,"Phố Mã Mây, Old Quarter, Hanoi, Vietnam, 10000",7.2,606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
HaNoi17,Ha Noi,Backpacker Hanoi Hostel,https://www.agoda.com/backpacker-hanoi-hostel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=2,https://pix5.agoda.net/hotelImages/240/2408620/2408620_17071416330054463529.jpg?s=1024x768,"25 Trung Yen Lane, Hoan Kiem, Hanoi, Vietnam, Old Quarter, Hanoi, Vietnam, 100000",7.9,72468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HaNoi18,Ha Noi,7S Hotel Phuong Ngoc Hanoi,https://www.agoda.com/7s-phuong-ngoc-hanoi-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=3,https://pix6.agoda.net/hotelImages/6851507/-1/40d6c810b269a7ec0fac0b0ff98081a4.jpg?s=1024x768,"No. 272/4 Tran Khat Chan str, Hai Ba Trung dist., Hai Ba Trung District, Hanoi, Vietnam, 10000",7.3,450000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi19,Ha Noi,The Chi Boutique Hotel,https://www.agoda.com/the-chi-boutique-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/129/1295184/1295184_16081921540045641790.jpg?s=1024x768,"13 Nha Chung Street, Hoan Kiem District, Hanoi, Vietnam, 10000",8.9,1679870,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi20,Ha Noi,Hanoi View 2 Hotel – Ngo Si Lien,https://www.agoda.com/hanoi-view-2-hotel-ngo-si-lien/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/267/267103/267103_15082010150034666003.jpg?s=1024x768,"48 Ngo Si Lien Alley, Dong Da District, Hanoi, Vietnam, 10000",8.0,478143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi21,Ha Noi,Golden Silk Boutique Hotel,https://www.agoda.com/golden-silk-boutique-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/294/294450/294450_15080711080033841072.jpg?s=1024x768,"109-111 Hang Gai Street, Hang Gai Ward, Hoan Kiem District, Hoan Kiem District, Hanoi, Vietnam",8.4,1109770,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
